subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Bapu Deva Sastri	collaborated_with	Lancelot Wilkinson		1861	1862	True	Winternitz GIL 3	Der Golādhyāya ins Englische übersetzt von L. Wilkinson und Bāpu Deva Śāstrī, Calcutta 1861—1862.
Benimadhab Barua	collaborated_with	Sailendranath Mitra		1921	1921	True	Winternitz GIL 3	neu herausgegeben von Benimadhab Barua und Sailendranath Mitra, Prakrit Dhammapada based upon M. Senart's Kharosthī Manuscript with Text, Translation and Notes, publ. by the University of Calcutta 1921.
Bernhard Geiger	collaborated_with	Erwin Felber			1912	True	Winternitz GIL 3	E. Felber (Die indische Musik der vedischen und der klassischen Zeit, mit Texten und Übersetzungen von B. Geiger, SWA 1912)
Berthold Delbrück	collaborated_with	Ernst Windisch				True	Windisch GSP	Die gemeinsamen Bestrebungen veranlaßten Delbrück, sich mit Windisch zu den "Syntaktischen Forschungen" zu verbinden
Berthold Delbrück	collaborated_with	Karl Brugmann				True	Windisch GSP	Brugmann verband sich mit ihm und übertrug ihm die Syntax in seinem Grundriß der Vergleichenden Sprachwissenschaft.
Bhagwanlal Indraji	collaborated_with	Georg Bühler		1878	1878	True	Windisch GSP	Einen genaueren Text und eine bessere Übersetzung dieser merkwürdigen ältesten Sanskritschrift gab 1878 Bhagvānlāl Indraji (in Verbindung mit Bühler) im Indian Antiquary VII 257.
Brian Houghton Hodgson	collaborated_with	James Prinsep				True	Windisch GSP	Er gehörte mit zu dem Milieu, in dem Prinsep seine entziffernde Tätigkeit entfaltete. Von ihm erhielt dieser das erste Faksimile der Asoka-Inschrift von Mathiah
Bunyiu Nanjio	collaborated_with	Friedrich Max Müller		1883	1884	True	Windisch GSP; Winternitz GIL 2	Sukhāvatī-Vyūha, Description of Sukhāvatī, the Land of Bliss", Oxford 1883. An der Herausgabe ist Bunyiu Nanjio wesentlich beteiligt.
Bunyiu Nanjio	collaborated_with	Hendrik Kern	co-editors	1908	1912	True	Windisch GSP; Winternitz GIL 2	Der Sanskrittext ist erst von H. Kern und Bunyiu Nanjio in der Bibliotheca Buddhica, St. Petersburg 1912, herausgegeben worden.
Carl Cappeller	collaborated_with	Charles Rockwell Lanman			1891	True	Windisch GSP	"A Sanskrit-English Dictionary", Straßburg 1891, bei der er von Lanman durch Rat und Tat unterstützt wurde.
Carl Cappeller	collaborated_with	Ernst Leumann		1899	1899	True	Windisch GSP	"A Sanskrit-English Dictionary" von Monier-Williams, die zweite Ausgabe besorgt von Cappeller im Verein mit Leumann, Oxford 1899.
Carl Vilhelm Trenckner	collaborated_with	Robert Chalmers	co-editor	1888	1902	True	Winternitz GIL 2	Herausgegeben von V. Trenckner und R. Chalmers, London PTS 1888—1902, 3 Vols.
Caroline Augusta Foley Rhys Davids	collaborated_with	Frank Lee Woodward		1916	1916	True	Winternitz GIL 3	Yogāvacara's Manual by F. L. Woodward ed. . . . by Mrs. Rhys Davids, London PTS 1916.
Caroline Augusta Foley Rhys Davids	collaborated_with	Mabel Hunt		1911	1911	True	Winternitz GIL 2	Edited by Caroline Rhys Davids, assisted by Mary C. Foley and Mabel Hunt, Vol. I, London PTS 1911.
Caroline Augusta Foley Rhys Davids	collaborated_with	Mary C. Foley		1911	1911	True	Winternitz GIL 2	Edited by Caroline Rhys Davids, assisted by Mary C. Foley and Mabel Hunt, Vol. I, London PTS 1911.
Caroline Augusta Foley Rhys Davids	collaborated_with	Pe Maung Tin		1920	1921	True	Winternitz GIL 3	The Expositor (Atthasālinī)... translated by Maung Tin, ed. and revised by Mrs. Rhys Davids. London PTS 1920/21.
Caroline Augusta Foley Rhys Davids	collaborated_with	Shwe Zan Aung		1915	1915	True	Winternitz GIL 3	Übersetzung des Kathāvatthu von Shwe Zan Aung und Mrs. Rhys Davids, London PTS 1915.
Caroline Augusta Foley Rhys Davids	collaborated_with	Suriyagoda Sumangala Thera		1918	1918	True	Winternitz GIL 3	translated by Mrs. Rhys Davids assisted by Sūriyagoḍa Sumangala Thera, London PTS, Translation Series, Nr. 7, 1918
Caroline Augusta Foley Rhys Davids	collaborated_with	Thomas William Rhys Davids				True	Winternitz GIL 3	Dialogues of the Buddha, transl. by T. W. and C. A. F. Rhys Davids
Cecil Bendall	collaborated_with	Louis de La Vallée Poussin		1905	1906	True	Winternitz GIL 2	Bodhisattvabhūmi, a Text-Book of the Yogācāra School; an English Summary with Notes etc. by C. Bendall and L. de La Vallée Poussin, Le Muséon, N. S. VI, 1905, p. 38 ff.; VII, 1906, p. 213 ff.
Cecil Bendall	collaborated_with	Peter Peterson			1890	True	Winternitz GIL 3	P. Peterson und C. Bendall, JRAS 1890, 490 ff.
Charles Masson	collaborated_with	Horace Hayman Wilson			1841	True	Windisch GSP	Ariana Antiqua. A descriptive account of the Antiquities and Coins of Afghanistan : with a Memoir on the Buildings called Topes, by C. Masson, Esqu., London 1841
Charles Rieu	collaborated_with	Otto von Böhtlingk	co-editors	1841	1847	True	Windisch GSP; Winternitz GIL 3	letzteres von Böhtlingk und Rieu (Petersburg 1847) herausgegeben.
Charles Rockwell Lanman	collaborated_with	Henry Clarke Warren	fortgesetzt und vollendet			True	Winternitz GIL 2	Derselbe allzu früh verstorbene amerikanische Gelehrte hat eine Ausgabe und eine Übersetzung des Werkes begonnen, die, von C. R. Lanman fortgesetzt und vollendet, in der »Harvard Oriental Series« erscheinen sollen.
Charles Rockwell Lanman	collaborated_with	Sten Konow		1901		True	Winternitz GIL 3	kritisch von Sten Konow nebst englischer Übersetzung von Ch. R. Lanman in HOS, Vol. IV, Cambridge Mass. 1901.
Chimanlal Dahyabhai Dalal	collaborated_with	R. Anantakrishna Shastry			1916	True	Winternitz GIL 3	ed. by C. D. Dalal and R. Anantakrishna Shastry in Gaekwad's Oriental Series, No. 1, Baroda 1916
Christian Karl Josias von Bunsen	collaborated_with	Friedrich Max Müller		1847	1847	True	Windisch GSP	Das Zusammenarbeiten mit Bunsen zeigt sich zuerst in M. Müllers Vortrag... eine der "Three Linguistic Dissertations, read at the Meeting of the British Association in Oxford, by Chevalier Bunsen, Charles Meyer, and Max Müller"
Christian Lassen	collaborated_with	Eugène Burnouf		1826	1826	True	Windisch GSP; Winternitz GIL 1	Burnouf und Lassen hatten im Essai sur le Pali S. 152 fg. diese Sprache als aus dem Sanskrit entstanden hingestellt
Christian Lassen	collaborated_with	Karl Joseph Hieronymus Windischmann				True	Windisch GSP	dem Werke "Die Philosophie im Fortgange der Weltgeschichte" von K. J. H. Windischmann, zu dem Fr. Windischmann und Lassen wertvolle Beiträge aus der brahmanischen Philosophie geliefert haben
Clara Mary Ridding	collaborated_with	Louis de La Vallée Poussin		1920	1920	True	Winternitz GIL 3	Ein Fragment des Sanskrit Vinaya, Bhikṣuṇīkādharmavacana, ist herausgegeben von C. M. Ridding und La Vallée Poussin BSOS, vol. I, part 3, 1920
Dattatraya Shastri Nigdukar	collaborated_with	K. M. Joglekar			1912	True	Winternitz GIL 2	Ashvaghosha's Buddha-Charita, cantos I—V with a scholium by Dattatraya Shastri Nigdukar, and Introduction, Notes and Translation by K. M. Joglekar
Dines Andersen	collaborated_with	Helmer Smith		1913	1913	True	Winternitz GIL 2	Neue Ausgabe des Suttanipāta von D. Andersen und Helmer Smith, London PTS 1913.
Dines Andersen	collaborated_with	Michael Viggo Fausbøll	Index compiler	1877	1897	True	Winternitz GIL 2	The Jātaka together with its Commentary being Tales of the Anterior Births of Gotama Buddha edited by V. Fausböll, Vols. I—VII (vol. VII: Index by Dines Andersen), London 1877—1897.
Durgāprasāda	collaborated_with	Kashinath Pandurang Parab	Herausgeber	1891		True	Windisch GSP	herausgegeben von Durgāprasād und Kāśīnāth Pāṇḍurang Parab in der Kāvyamālā, Bombay 1891
Durgāprasāda	collaborated_with	Peter Peterson	editor	1886	1886	True	Winternitz GIL 3	Ed. by P. Peterson and Pandit Durgāprasāda, BSS 1886.
Ebenezer Burgess	collaborated_with	William Dwight Whitney		1858	1860	True	Windisch GSP; Winternitz GIL 3	Auch die Ausgabe des Sūryasiddhānta von Burgess und Whitney in der Bibliotheca Indica lag damals schon vor.
Edmund Hardy	collaborated_with	Richard Morris		1885	1900	True	Winternitz GIL 2	Herausgegeben von R. Morris und E. Hardy, London PTS 1885—1900, 5 vols
Edward Byles Cowell	collaborated_with	Frederick William Thomas	co-translators	1897	1897	True	Winternitz GIL 3	Ins Englische übersetzt von E. B. Cowell und F. W. Thomas, London 1897.
Edward Byles Cowell	collaborated_with	Heinrich Wenzel				True	Windisch GSP	sondern auch Cowell bei der Ausgabe des Buddhacarita, s. dessen Preface S. V.
Edward Byles Cowell	collaborated_with	Henry Thomas Francis	translator	1895	1907	True	Winternitz GIL 2	The Jātaka or Stories of the Buddha's Former Births, translated from the Pāli by various Hands under the Editorship of E. B. Cowell, Vols. I—VI, Cambridge 1895—1907 (Übersetzer sind: ... H. T. Francis
Edward Byles Cowell	collaborated_with	John Muir	Verbesserungen			True	Windisch GSP	Im Appendix teilt Muir Verbesserungen von Goldstücker, Cowell und Aufrecht mit.
Edward Byles Cowell	collaborated_with	Julius Eggeling	co-authors	1876	1876	True	Windisch GSP; Winternitz GIL 2	E. B. Cowell und J. Eggeling, A Catalogue of Buddhist Sanskrit Manuscripts in the possession of the R. Asiatic Society (Hodgson Collection), JRAS. VIII, London 1876.
Edward Byles Cowell	collaborated_with	Robert Alexander Neil	co-editor; co-editors; translator	1886	1907	True	Windisch GSP; Winternitz GIL 2	in Cowell und Neils Ausgabe (Cambridge 1886)
Edward Byles Cowell	collaborated_with	Theodor Goldstücker			1878	True	Winternitz GIL 3	Ed. by Th. Goldstücker und E. B. Cowell, London 1878
Edward Byles Cowell	collaborated_with	William Henry Denham Rouse	translator	1895	1907	True	Winternitz GIL 2	The Jātaka or Stories of the Buddha's Former Births, translated from the Pāli by various Hands under the Editorship of E. B. Cowell, Vols. I—VI, Cambridge 1895—1907 (Übersetzer sind: ... W. H. D. Rouse
Edward Denison Ross	collaborated_with	Satis Chandra Vidyabhusan	co-editors			True	Winternitz GIL 3	ed. by E. Denison Ross and S. Ch. Vidyābhūṣaṇa, Part I
Edward Joseph Thomas	collaborated_with	Louis de La Vallée Poussin		1916	1918	True	Winternitz GIL 3	Niddesa, I. Mahā Niddesa, ed. by L. de La Vallée Poussin and E. J. Thomas; II. Cullaniddesa, ed. by W. Stede. London PTS 1916—1918.
Edwin Norris	collaborated_with	Horace Hayman Wilson				True	Windisch GSP	Wilson veröffentlichte ihren Text vollständig in der oben erwähnten Neubearbeitung der Felseninschriften, mit einem Faksimile von Norris
Else Lüders	collaborated_with	Heinrich Lüders		1921	1921	True	Winternitz GIL 3	Eine Auswahl aus dem Jātakabuch übersetzt von Else Lüders, Buddhistische Märchen, mit einer Einleitung von H. Lüders, Jena 1921.
Emilio Teza	collaborated_with	Ignazio Guidi	Transkription der Handschrift			True	Windisch GSP	Den Text hatte für ihn Ignazio Guidi aus der Handschrift transkribiert.
Ernst Haas	collaborated_with	Ernst Windisch		1870	1871	True	Windisch GSP	In England arbeitete er zusammen mit Eggeling und Haas an dem "Catalogue of the Sanskrit Manuscripts in the India Office Library"
Ernst Kuhn	collaborated_with	Gustaaf Adolf van den Bergh van Eysinga	contributor of afterword		1904	True	Winternitz GIL 2	Ernst Kuhn im Nachwort zu Bergh van Eysingas Werk (S. 102 ff.)
Ernst Kuhn	collaborated_with	Lucian Scherman	Vorbereitung einer Bibliographie			True	Windisch GSP	Eine solche Bibliographie hat Ernst Kuhn schon seit Jahren vorbereitet, im Verein mit L. Scherman
Ernst Leumann	collaborated_with	Kaigyoku Watanabe			1912	True	Winternitz GIL 2	K. Watanabe, Die Bhadracarī, eine Probe buddhistisch-religiöser Lyrik, untersucht und herausgegeben (mit einer Übersetzung von E. Leumann), Leipzig 1912
Ernst Windisch	collaborated_with	Julius Eggeling		1870	1871	True	Windisch GSP	In England arbeitete er zusammen mit Eggeling und Haas an dem "Catalogue of the Sanskrit Manuscripts in the India Office Library"
Fitzedward Hall	collaborated_with	Reinhold Rost	co-editor			True	Winternitz GIL 1	Works by the late H. H. Wilson, ed. by R. Rost and Fitzedward Hall
Francesco Lorenzo Pullè	collaborated_with	Luigi Suali	Übersetzer			True	Winternitz GIL 2	Einzelne Kapitel des Kommentars übersetzt von Pullé und Suali in GSAI 8, 159 ff.; 9, 1 ff.; 12, 225 ff.; 17, 243 ff.; 19, 283 ff.; 20, 33 ff.
Franklin Edgerton	collaborated_with	LeRoy Carr Barret		1906	1921	True	Winternitz GIL 3	Die Bücher I, II, IV—VIII der Kaschmirischen Rezension sind mit textkritischen Noten herausgegeben von Le Roy Carr Barret und F. Edgerton in JAOS vols. 26, 30, 32, 34, 35, 37, 40 und 41, 1906—1921.
Franz Kielhorn	collaborated_with	Georg Bühler				True	Winternitz GIL 3	Herausgegeben ist der »Textus simplicior« von F. Kielhorn und G. Bühler, BSS I, III, V
Frederick William Thomas	collaborated_with	Hakuju Ui		1918	1918	True	Winternitz GIL 3	suchen F. W. Thomas und H. Ui (JRAS 1918, 267 ff.) den Sanskrittext aus den tibetischen und chinesischen Versionen zu rekonstruieren.
Friedrich Bollensen	collaborated_with	Richard Pischel				True	Windisch GSP	Die Oxforder Handschriften verglich Pischel für ihn bei seinem Aufenthalt in England.
Friedrich Heinrich Hugo Windischmann	collaborated_with	Karl Joseph Hieronymus Windischmann				True	Windisch GSP	dem Werke "Die Philosophie im Fortgange der Weltgeschichte" von K. J. H. Windischmann, zu dem Fr. Windischmann und Lassen wertvolle Beiträge aus der brahmanischen Philosophie geliefert haben
Friedrich Max Müller	collaborated_with	Georg Bühler	prepared index for book			True	Windisch GSP	M. Müller dankt diesem hier am Ende der Vorrede für Anfertigung des Index zu seinem Buche.
Friedrich Max Müller	collaborated_with	George Thibaut	Mitarbeiter			True	Windisch GSP	Später sind Brunnhofer, Eggeling, Thibaut, Winternitz stille Mitarbeiter gewesen.
Friedrich Max Müller	collaborated_with	Heinrich Wenzel		1885	1885	True	Windisch GSP; Winternitz GIL 2	übernahm M. Müller die Herausgabe in Verbindung mit H. Wenzel.
Friedrich Max Müller	collaborated_with	Hermann Brunnhofer	Hilfsarbeiter am Wortindex zum Rgveda; Mitarbeiter	1867	1867	True	Windisch GSP	Später sind Brunnhofer, Eggeling, Thibaut, Winternitz stille Mitarbeiter gewesen.
Friedrich Max Müller	collaborated_with	Julius Eggeling	Mitarbeiter			True	Windisch GSP	Später sind Brunnhofer, Eggeling, Thibaut, Winternitz stille Mitarbeiter gewesen.
Friedrich Max Müller	collaborated_with	Karl Meyer		1847	1847	True	Windisch GSP	"Three Linguistic Dissertations, read at the Meeting of the British Association in Oxford, by Chevalier Bunsen, Charles Meyer, and Max Müller", London 1847.
Friedrich Max Müller	collaborated_with	Kenjiu Kasawara			1885	True	Winternitz GIL 2	Herausgegeben von Kenjiu Kasawara, Max Müller und H. Wenzel (Anecdota Oxoniensia, Aryan Series, Vol 1, Part 5), Oxford 1885.
Friedrich Max Müller	collaborated_with	Moriz Winternitz	Mitarbeiter			True	Windisch GSP	Später sind Brunnhofer, Eggeling, Thibaut, Winternitz stille Mitarbeiter gewesen.
Friedrich Max Müller	collaborated_with	Theodor Aufrecht	Amanuensis/collaborator			True	Windisch GSP	Der erste Amanuensis dieser Art war Aufrecht... "as much of the correctness and accuracy of the last volumes was due to his conscientious cooperation".
Friedrich Otto Schrader	collaborated_with	M. D. Ramanujacharya		1916	1916	True	Winternitz GIL 3	Ahirbudhnya-Saṃhitā (ed. by M. D. Rāmānujācārya under the supervision of F. O. Schrader, Madras 1916)
Friedrich Rückert	collaborated_with	Johann Wilhelm Andreas Pfaff				True	Windisch GSP	Rückert arbeitete an der Übersetzung von Nal und Damajanti zusammen mit dem Professor der Mathematik Wilhelm Pfaff in Erlangen
Ganganatha Jha	collaborated_with	George Thibaut	joint translation	1907	1913	True	Winternitz GIL 3	ins Englische übersetzt von G. Thibaut und Gaṅgānātha Jhā in Indian Thought, vols. I—V, 1907—1913.
Georg Bühler	collaborated_with	Johann Kirste		1892	1893	True	Winternitz GIL 1; Winternitz GIL 3	Indian Studies. By G. Bühler und J. Kirste, No. II. Contributions to the History of the Mahābhārata. Sitzungsberichte der k. Akademie der Wiss. in Wien. Phil.-histor. Cl., Bd. CXXVII. Wien 1892.
Georg Bühler	collaborated_with	Peter Peterson		1887	1891	True	Winternitz GIL 3	Edited by G. Bühler and P. Peterson, Bombay 1887 und 1891 (BSS, Nr. 10 und 42)
Georg Bühler	collaborated_with	Raymond West				True	Windisch GSP	Digest of Hindu Law, from the replies of the Shastris in the several Courts of the Bombay Presidency, Book II, Partition" von R. West und J. G. Bühler
Georg Bühler	collaborated_with	Theodor Zachariae		1888	1888	True	Winternitz GIL 3	G. Bühler und Th. Zachariae, Über das Navasāhasāṅkacarita des Padmagupta oder Parimala, in SWA 1888.
Georg Curtius	collaborated_with	Karl Brugmann	co-editor of Studien zur griechischen und lateinischen Grammatik			True	Windisch GSP	der von ihm gegründeten, dann mit Brugmann zusammen herausgegebenen "Studien zur griechischen und lateinischen Grammatik"
George Melville Bolling	collaborated_with	Julius von Negelein		1909	1910	True	Winternitz GIL 3	The Pariśiṣṭas of the Atharvaveda ed. by G. M. Bolling and J. v. Negelein, Leipzig 1909 f.
George Thibaut	collaborated_with	Sudhakara Dvivedi		1889	1889	True	Windisch GSP; Winternitz GIL 3	Noch G. Thibaut hat die Ausgabe der Pañcasiddhāntikā, Benares 1889, zusammen mit dem auch auf dem Titel genannten Mahāmahopādhyāya Sudhākara Dvivedī unternommen.
Georgiana Howard Kingscote	collaborated_with	S. M. Natesa Sastri		1890	1890	True	Winternitz GIL 3	H. Kingscote and N. Sastri, Tales of the Sun, or Folklore of Southern India, London 1890.
Godefroy de Blonay	collaborated_with	Louis de La Vallée Poussin	co-authors	1892	1894	True	Winternitz GIL 2	L. de La Vallée Poussin und G. de Blonay, Contes Bouddhiques in RHR, t. 26. 1892, 180 ff. und t. 29, 1894, 195 ff., 329 ff.
Govind Bahirav Brahme	collaborated_with	Shivaram Mahadeo Paranjape			1893	True	Winternitz GIL 3	Herausgegeben von Govind Bahirav Brahme und Dhiravam Mahadeo Paranjape, Poona 1893
Gustav Bickell	collaborated_with	Theodor Benfey			1876	True	Windisch GSP	Kalilag und Damnag. Alte syrische Übersetzung des indischen Fürstenspiegels. Text und deutsche Übersetzung von Gustav Bickell. Mit einer Einleitung von Theodor Benfey
Hari Mohan Vidyabhushana	collaborated_with	Sarat Chandra Das		1888		True	Winternitz GIL 2	Der Text mit der tibetischen Übersetzung wird in der Bibl. Ind., Kalkutta 1888 ff. von Sarat Chandra Dās und Hari Mohan Vidyābhūṣaṇa herausgegeben.
Harilal Harshādrāy Dhruva	collaborated_with	Kamalashankar Pranshankar Trivedi	joint editor	1901	1902	True	Winternitz GIL 3	Herausgegeben von H. H. Dhruva und K. P. Trivedi in BSS, Nr. 61 und 62, 1901 und 1902.
Harishchandra Kaviratna	collaborated_with	Prafulla Chandra Ray		1910	1910	True	Winternitz GIL 3	The Rasārṇavam or the Ocean of Mercury and other Metals and Minerals ed. by P. C. Ray and P. Hariśchandra Kaviratna, Bibl. Ind. 1910.
Heinrich Meyer-Benfey	collaborated_with	Hermanna Meyer-Franck	co-translators	1920	1920	True	Winternitz GIL 3	übersetzt von H. Meyer-Franck und H. Meyer-Benfey, 1920
Heinrich Wenzel	collaborated_with	Kenjiu Kasawara			1885	True	Winternitz GIL 2	Herausgegeben von Kenjiu Kasawara, Max Müller und H. Wenzel (Anecdota Oxoniensia, Aryan Series, Vol 1, Part 5), Oxford 1885.
Helmer Smith	collaborated_with	Mabel Hunt		1915	1915	True	Winternitz GIL 3	Khuddaka-Pāṭha together with its Commentary ed. by H. Smith, from a Collation by Mabel Hunt. London PTS 1915.
Henri Hubert	collaborated_with	Marcel Mauss		1897	1898	True	Winternitz GIL 1	Die Bedeutung der Śrautasūtras für die allgemeine Religionswissenschaft haben zuerst H. Hubert und M. Mauss in ihrem »Essai sur la nature et la fonction du sacrifice«
Henry Thomas Colebrooke	collaborated_with	Horace Hayman Wilson	co-editor	1837	1837	True	Windisch GSP; Winternitz GIL 3	die Sāṅkhyakārikās des Īśvarakṛṣṇa zu erwähnen, die später von ihm und Wilson, zusammen mit dem Kommentar des Gauḍapāda, herausgegeben worden sind.
